ID,SalePrice
1461,129739.41507390019
1462,157648.19649402986
1463,185754.53217130067
1464,183748.9462174974
1465,181189.04204794773
1466,171270.6099867387
1467,179483.19691742386
1468,175137.45173086275
1469,183427.52802674507
1470,123917.26791906309
1471,201645.58283168485
1472,93303.68781464113
1473,97438.3003342213
1474,148484.37305841513
1475,121113.82312346596
1476,380941.1882905584
1477,271111.299074892
1478,291190.23019901925
1479,284621.36684724846
1480,469348.4614152684
1481,340029.3115303076
1482,203097.64521531903
1483,176533.05252526875
1484,164314.38402591093
1485,177483.81477192935
1486,195641.5393935299
1487,341751.84671677893
1488,233580.65755429896
1489,216691.19566035992
1490,217957.01299954145
1491,184179.2551354028
1492,92956.68328739944
1493,165530.41711601612
1494,286946.3099499752
1495,267896.2016906664
1496,242971.33246186588
1497,176125.2135014246
1498,156126.8424001375
1499,152211.6689766976
1500,152693.65016789915
1501,177542.65498362292
1502,148471.48184966098
1503,300265.38923284016
1504,229318.07523129016
1505,235731.26253377466
1506,179193.76456736834
1507,236613.77934059643
1508,192598.7171783289
1509,165035.507747348
1510,153174.60711098553
1511,150722.89395899756
1512,146699.62298637474
1513,135917.04002893102
1514,178622.8260358185
1515,206243.80669336507
1516,142248.30383093766
1517,168911.14026877546
1518,124777.4974912773
1519,232010.11864655855
1520,137122.40552061482
1521,143699.34826550586
1522,170966.64013391134
1523,121864.51469162476
1524,122867.5228366046
1525,129871.84426837388
1526,129812.28891381316
1527,100203.74942363564
1528,144011.73434701524
1529,149420.95417863005
1530,161125.73141417766
1531,108854.18796436407
1532,95637.6657528962
1533,137673.58591497052
1534,112393.24025288552
1535,144783.5766307464
1536,113247.05137502396
1537,61518.399651801155
1538,164111.7898976737
1539,187712.00680522493
1540,96010.81867121375
1541,169047.90637038348
1542,147653.68304203823
1543,227069.4520131515
1544,76381.40557973906
1545,98892.90692794762
1546,118555.50093087243
1547,139723.57698854498
1548,137203.7463181478
1549,116389.27102825786
1550,137188.46653816185
1551,112237.0214118894
1552,124893.00914169398
1553,141677.66131745974
1554,106095.13291916097
1555,198137.059871968
1556,94160.94292111337
1557,106309.50101467117
1558,93663.01707969228
1559,96973.85198781484
1560,137585.81880699206
1561,126537.7028968835
1562,121675.61050779762
1563,116731.87395712294
1564,156469.70249395445
1565,149539.3233546584
1566,228000.7487025642
1567,55841.655571783456
1568,232477.3217168052
1569,120771.83633450676
1570,135824.62708175398
1571,125433.6388554939
1572,145843.11949582727
1573,236860.50999625164
1574,97775.62557833327
1575,198234.05237645868
1576,246129.94571810117
1577,202926.49105911027
1578,157799.82931366807
1579,158693.4813658449
1580,187402.65266409962
1581,143371.62695940497
1582,132692.4097487965
1583,388590.57538505667
1584,222166.32791980848
1585,141013.14843548904
1586,62851.8680639511
1587,93611.01162472513
1588,139201.51528022168
1589,90607.43962602074
1590,138172.07885665563
1591,100394.51544543303
1592,129674.68455498092
1593,127184.90402400422
1594,124720.80222512661
1595,103910.42950753227
1596,242850.4483970615
1597,212640.19433622
1598,197840.6693294925
1599,159795.24649073675
1600,162049.0345371585
1601,60491.98610738316
1602,102703.43082777827
1603,77596.11515299886
1604,260713.0985736397
1605,228364.94361216304
1606,182241.24806780342
1607,151331.50937323595
1608,216081.7025878576
1609,207909.5654411713
1610,162553.28577260702
1611,148343.20272089812
1612,165428.75296766037
1613,162579.54532041392
1614,123050.63094411492
1615,82732.83780178813
1616,68915.4189043666
1617,89729.64026678418
1618,130770.62518493815
1619,139611.77886986494
1620,142927.72015194572
1621,146029.11931116375
1622,134712.21801928623
1623,253062.35232009043
1624,205167.25943719706
1625,125632.00040792319
1626,157461.35478807226
1627,190963.9910376406
1628,276659.8593744914
1629,177761.29401545384
1630,399398.3133838463
1631,229106.0266088082
1632,271924.6952077214
1633,165892.54513818317
1634,190030.27317203814
1635,181307.03557526495
1636,149042.59174318158
1637,207888.57727517726
1638,205795.19823058284
1639,169956.81791830814
